Rank,Title,Score
1,"Community 2020 562,429 members",8.65
2,"Community 2019 667,901 members",9.03
3,"Community 2019 1,241,219 members",9.4
4,"Community 2020 1,243,072 members",9.31
5,"Community 2020 499,430 members",8.67
6,"Community 2023 394,395 members",9.2
7,"Community 2023 313,526 members",9.07
8,"Community 2018 2,339,764 members",8.96
9,"Community 2019 146,907 members",8.87
10,"Community 2019 707,223 members",8.77
11,"Community 2022 1,668,845 members",8.94
12,"Community 2019 808,769 members",9.41
13,"Community 2023 271,331 members",8.66
14,"Community 2021 432,342 members",8.56
15,"Community 2019 2,468,588 members",8.55
16,"Community 2023 1,396,952 members",8.52
17,"Community 2022 243,690 members",9.13
18,"Community 2023 1,525,401 members",9.28
19,"Community 2022 719,691 members",8.51
20,"Community 2023 542,338 members",8.99
21,"Community 2021 100,519 members",9.12
22,"Community 2021 1,928,949 members",8.6
23,"Community 2020 825,808 members",9.16
24,"Community 2022 2,044,204 members",9.05
25,"Community 2019 227,378 members",9.13
26,"Community 2021 311,931 members",8.66
27,"Community 2020 1,975,775 members",9.46
28,"Community 2022 1,585,853 members",8.58
29,"Community 2019 844,759 members",8.9
30,"Community 2022 2,015,008 members",8.66
31,"Community 2019 2,033,658 members",9.24
32,"Community 2023 1,536,114 members",9.04
33,"Community 2018 2,485,196 members",9.42
34,"Community 2022 2,198,617 members",8.58
35,"Community 2018 1,167,538 members",8.98
36,"Community 2019 1,935,503 members",9.43
37,"Community 2020 2,482,799 members",9.03
38,"Community 2019 763,053 members",9.46
39,"Community 2020 1,347,773 members",9.41
40,"Community 2023 1,230,442 members",8.91
41,"Community 2019 2,352,786 members",9.41
42,"Community 2021 1,822,610 members",8.67
43,"Community 2021 1,000,466 members",9.35
44,"Community 2021 1,746,813 members",8.89
45,"Community 2021 588,742 members",8.83
46,"Community 2021 908,815 members",8.64
47,"Community 2019 1,504,060 members",8.8
48,"Community 2019 2,253,464 members",8.89
49,"Community 2023 1,550,966 members",8.54
50,"Community 2022 1,109,804 members",8.97
